timestamp,zone,count
2025-10-26T01:04:02.118174,gate_a,86
2025-10-26T01:04:02.118228,stage_front,111
2025-10-26T01:04:08.142656,gate_a,83
2025-10-26T01:04:08.142675,stage_front,119
2025-10-26T01:04:22.025796,gate_a,86
2025-10-26T01:04:22.025835,stage_front,119
2025-10-26T01:04:26.065815,gate_a,96
2025-10-26T01:04:26.065838,stage_front,115
2025-10-26T01:04:30.109376,gate_a,92
2025-10-26T01:04:30.109395,stage_front,121
2025-10-26T01:04:34.132526,gate_a,82
2025-10-26T01:04:34.132540,stage_front,111
2025-10-26T01:04:38.161421,gate_a,90
2025-10-26T01:04:38.161433,stage_front,118
2025-10-26T01:04:42.204566,gate_a,81
2025-10-26T01:04:42.204583,stage_front,120
2025-10-26T01:04:46.256743,gate_a,97
2025-10-26T01:04:46.256762,stage_front,123
2025-10-26T01:04:50.313971,gate_a,87
2025-10-26T01:04:50.313983,stage_front,110
2025-10-26T01:04:54.343490,gate_a,114
2025-10-26T01:04:54.343504,stage_front,128
2025-10-26T01:04:58.376839,gate_a,121
2025-10-26T01:04:58.376852,stage_front,118
2025-10-26T01:05:02.416583,gate_a,146
2025-10-26T01:05:02.416607,stage_front,122
2025-10-26T01:05:06.446020,gate_a,180
2025-10-26T01:05:06.446037,stage_front,128
2025-10-26T01:05:10.495720,gate_a,196
2025-10-26T01:05:10.495742,stage_front,121
2025-10-26T01:05:14.558194,gate_a,219
2025-10-26T01:05:14.558209,stage_front,127
2025-10-26T01:05:18.601571,gate_a,237
2025-10-26T01:05:18.601588,stage_front,110
2025-10-26T01:05:22.624224,gate_a,287
2025-10-26T01:05:22.624242,stage_front,115
2025-10-26T01:05:26.667662,gate_a,257
2025-10-26T01:05:26.667686,stage_front,123
2025-10-26T01:05:30.703877,gate_a,259
2025-10-26T01:05:30.703892,stage_front,129
2025-10-26T01:05:34.765517,gate_a,258
2025-10-26T01:05:34.765543,stage_front,118
2025-10-26T01:05:38.799317,gate_a,276
2025-10-26T01:05:38.799339,stage_front,123
2025-10-26T01:05:42.843931,gate_a,272
2025-10-26T01:05:42.843948,stage_front,111
2025-10-26T01:05:46.897735,gate_a,295
2025-10-26T01:05:46.897753,stage_front,122
2025-10-26T01:05:50.932561,gate_a,284
2025-10-26T01:05:50.932577,stage_front,123
2025-10-26T01:05:54.983997,gate_a,246
2025-10-26T01:05:54.984012,stage_front,123
2025-10-26T01:05:59.024684,gate_a,243
2025-10-26T01:05:59.024698,stage_front,114
2025-10-26T01:06:03.059821,gate_a,247
2025-10-26T01:06:03.059836,stage_front,114
2025-10-26T01:06:07.105235,gate_a,223
2025-10-26T01:06:07.105252,stage_front,115
2025-10-26T01:06:11.159712,gate_a,235
2025-10-26T01:06:11.159726,stage_front,121
2025-10-26T01:06:15.200233,gate_a,232
2025-10-26T01:06:15.200248,stage_front,119
2025-10-26T01:06:19.254712,gate_a,212
2025-10-26T01:06:19.254727,stage_front,110
2025-10-26T01:06:23.292439,gate_a,207
2025-10-26T01:06:23.292458,stage_front,119
2025-10-26T01:06:27.341313,gate_a,220
2025-10-26T01:06:27.341329,stage_front,130
2025-10-26T01:06:31.382882,gate_a,204
2025-10-26T01:06:31.382904,stage_front,116
2025-10-26T01:06:35.407193,gate_a,193
2025-10-26T01:06:35.407205,stage_front,128
2025-10-26T01:06:39.450402,gate_a,190
2025-10-26T01:06:39.450419,stage_front,123
2025-10-26T01:06:43.507774,gate_a,193
2025-10-26T01:06:43.507791,stage_front,126
2025-10-26T01:06:47.558557,gate_a,197
2025-10-26T01:06:47.558578,stage_front,116
2025-10-26T01:06:51.600319,gate_a,187
2025-10-26T01:06:51.600336,stage_front,128
2025-10-26T01:06:55.652545,gate_a,184
2025-10-26T01:06:55.652562,stage_front,115
2025-10-26T01:06:59.704232,gate_a,166
2025-10-26T01:06:59.704245,stage_front,120
2025-10-26T01:07:03.757931,gate_a,178
2025-10-26T01:07:03.757956,stage_front,130
2025-10-26T01:07:07.778494,gate_a,174
2025-10-26T01:07:07.778508,stage_front,113
2025-10-26T01:07:11.830305,gate_a,171
2025-10-26T01:07:11.830321,stage_front,117
2025-10-26T01:07:15.877475,gate_a,155
2025-10-26T01:07:15.877490,stage_front,124
2025-10-26T01:07:19.909048,gate_a,163
2025-10-26T01:07:19.909062,stage_front,126
2025-10-26T01:07:23.951342,gate_a,154
2025-10-26T01:07:23.951359,stage_front,118
2025-10-26T01:07:27.987983,gate_a,83
2025-10-26T01:07:27.988001,stage_front,114
2025-10-26T01:07:32.016249,gate_a,81
2025-10-26T01:07:32.016268,stage_front,119
2025-10-26T01:07:36.055375,gate_a,100
2025-10-26T01:07:36.055396,stage_front,124
2025-10-26T01:07:40.077401,gate_a,99
2025-10-26T01:07:40.077416,stage_front,120
2025-10-26T01:07:44.138451,gate_a,95
2025-10-26T01:07:44.138468,stage_front,114
2025-10-26T01:07:48.180002,gate_a,85
2025-10-26T01:07:48.180019,stage_front,121
2025-10-26T01:07:52.209548,gate_a,97
2025-10-26T01:07:52.209565,stage_front,111
2025-10-26T01:07:56.239194,gate_a,96
2025-10-26T01:07:56.239214,stage_front,114
2025-10-26T01:08:00.265717,gate_a,128
2025-10-26T01:08:00.265740,stage_front,115
2025-10-26T01:08:04.297303,gate_a,144
2025-10-26T01:08:04.297319,stage_front,119
2025-10-26T01:08:08.334482,gate_a,152
2025-10-26T01:08:08.334501,stage_front,119
2025-10-26T01:08:12.371300,gate_a,190
2025-10-26T01:08:12.371318,stage_front,122
2025-10-26T01:08:16.404390,gate_a,210
2025-10-26T01:08:16.404403,stage_front,118
2025-10-26T01:08:20.451743,gate_a,223
2025-10-26T01:08:20.451762,stage_front,117
2025-10-26T01:08:24.509295,gate_a,241
2025-10-26T01:08:24.509308,stage_front,130
2025-10-26T01:45:18.497146,gate_a,84
2025-10-26T01:45:18.497185,stage_front,129
2025-10-26T01:45:22.523509,gate_a,95
2025-10-26T01:45:22.523522,stage_front,116
2025-10-26T01:45:26.576727,gate_a,91
2025-10-26T01:45:26.576740,stage_front,117
2025-10-26T01:45:30.601382,gate_a,81
2025-10-26T01:45:30.601404,stage_front,121
2025-10-26T01:45:34.649598,gate_a,99
2025-10-26T01:45:34.649620,stage_front,111
2025-10-26T01:45:38.697011,gate_a,84
2025-10-26T01:45:38.697024,stage_front,126
2025-10-26T01:45:42.745125,gate_a,100
2025-10-26T01:45:42.745138,stage_front,118
2025-10-26T01:45:46.793152,gate_a,91
2025-10-26T01:45:46.793165,stage_front,113
2025-10-26T01:45:50.818369,gate_a,115
2025-10-26T01:45:50.818382,stage_front,118
2025-10-26T01:45:54.861885,gate_a,140
2025-10-26T01:45:54.861915,stage_front,111
2025-10-26T01:45:58.900355,gate_a,162
2025-10-26T01:45:58.900369,stage_front,120
2025-10-26T01:46:02.931857,gate_a,162
2025-10-26T01:46:02.931872,stage_front,126
2025-10-26T01:46:06.968862,gate_a,200
2025-10-26T01:46:06.968874,stage_front,114
2025-10-26T01:46:11.003522,gate_a,216
2025-10-26T01:46:11.003538,stage_front,118
